tasks;avg1;avg2;avg3;avg4;avg
2,3,5;45,678;45,710;45,620;45,719;45,682
1,2,3;46,048;45,961;46,038;46,042;46,022
2,3,6;46,808;46,880;46,834;46,910;46,858
2,3,4;47,270;47,210;47,262;47,303;47,261
1,3,5;47,329;47,346;47,384;47,395;47,363
1,2,5;47,565;47,523;47,472;47,490;47,512
1,3,6;48,297;48,286;48,293;48,212;48,272
3,5,6;48,357;48,331;48,289;48,345;48,331
1,2,6;48,372;48,451;48,447;48,460;48,433
2,5,6;48,446;48,393;48,457;48,476;48,443
3,4,5;49,185;49,179;49,237;49,208;49,202
1,3,4;49,232;49,217;49,272;49,247;49,242
2,4,5;49,375;49,233;49,284;49,194;49,271
1,5,6;49,427;49,367;49,393;49,442;49,407
1,2,4;49,473;49,338;49,380;49,467;49,415
3,4,6;49,879;49,885;49,827;49,914;49,876
2,4,6;49,942;49,884;49,928;49,956;49,927
1,4,5;50,839;50,794;50,850;50,863;50,836
4,5,6;51,045;51,106;51,119;51,081;51,088
1,4,6;51,199;51,203;51,237;51,155;51,198
